id,title,avg_comp_score
1,A,0.410428571
2,A Canorous Quintet,-0.535836364
3,A Flock of Seagulls,0.384815385
4,A Ha,0.1678875
5,A Jugend - Tsg Kirchhellen,-0.9796
6,A Kiss To Build A Dream On,0.9485
7,A Klana Indiana,-0.697566667
8,A La Carte,0.521583333
9,A Perfect Circle,-0.125016667
10,A Really Cool Song,0.8215
11,A Shrine,0.15512
12,A Static Lullaby,-0.0921875
13,A Taste Of Honey,0.9826
14,A Teens,0.43129
15,A Tribe Called Quest,0.46938
16,A*teens   Abba,0.8678
17,A. F. I.,-0.09125625
18,A. For W.,0.25
19,A. R. Kane,0.415029167
20,A.f.i.,-0.004664706
21,A.k.-s.w.i.f.t.,0.9959
22,A.n.i.m.a.l,-0.487561905
23,A.p.v.,#N/A
24,A+,0.9969
25,A1,0.528721622
26,Aaliyah,0.442119753
27,Aaliyah (soundtrack: Dr. Dolittle),0.8862
28,Aaron Carter,0.670409804
29,Aaron Lines,0.80304
30,Aaron Neville,0.612520833
31,Aaron Tippin,0.377914286
32,Abandoned Pools,-0.1007
33,Abba,0.451262121
34,Abbey Lincoln,0.9385
35,Abby 6,0.218741667
36,Abc,0.504659649
37,Abducted,-0.425158824
38,Abdul Paula,0.674051852
39,Aber......vom Singen Keine Ahnung,0.8402
40,Abi And Esther Ofraim,0.8689
41,Abidin Zainal,#N/A
42,Abigail Mead And Nigel Goulding,0.9971
43,Abigor,-0.24154375
44,Ablaze My Sorrow,-0.1286375
45,Abomination,-0.6212
46,Abraham,-0.8439
47,Abrams Rita,0.8612
48,Abreu Fernanda,-0.3261375
49,Abrial Patrick,#N/A
50,Abrunhosa Pedro,-0.5267
51,Absent Friends,0.07595
52,Absint,0.0685
53,Absolom,0.8738
54,Absolute Beginner,-0.988205556
55,Absu,0.101769565
56,Abyssos,0.1658125
57,Ac Dc,0.159538889
58,Acad&#233;mica Palanca,-0.999
59,Accept,-0.216048387
60,According To John,0.9929
61,Acda En De Munnik,-0.9092
62,Ace,0.8802
63,Ace Frehley,0.599914286
64,Ace of Base,0.556104478
65,Acen,0.6449
66,Acetone,0.173183333
67,Aceyalone,0.107428571
68,Acheron,0.125663415
69,Achim Reichel,-0.893675
70,Acid Bath,-0.4536
71,Acid Drinkers,-0.397721429
72,Acid Rain,-0.868043478
73,Acolla,-0.61025625
74,Acrimony,0.330628571
75,Acrostichon,-0.39175625
76,Act Fast,-0.33604
77,Actarus,#N/A
78,Actitud Maria Marta,-0.9537
79,Adam And Eve,-0.8109375
80,Adam And The Ants,0.159137838
81,Adam Ant,0.22445102
82,Adam Sandler,0.570004255
83,Adamo,-0.705073333
84,Adams Bryan,0.388178049
85,Adams Oleta,0.978
86,Addict,0.624216667
87,Adema,-0.959325
88,Adeva,0.8878
89,Adi Smolar,#N/A
90,Adiemus,#N/A
91,Adina Howard,-0.9199
92,Adkins Trace,0.781885714
93,Admiral Twin,0.344486667
94,Adolphson Falk,0.667125
95,Adorned Brood,-0.441616667
96,Adotta Kip,0.9798
97,Adria,0.7861
98,Adrian Belew,0.094571111
99,Adrian Furby Trio,0.059816667
100,Adrian Wolf,-0.9586
101,Adriani Jerry,-0.918
102,Adriano Celentano,0.17698
103,Adventures,0.2198
104,Adverts,0.0051
105,Aendiaena,0.8843
106,Aeon,0.179111111
107,Aerosmith,0.307365385
108,Aerosmith (armageddon Soundtrack),0.802
109,Aerzte,-0.5994
110,Aeternus,0.144671429
111,Afflicted,-0.44186
112,Afonso Jose,#N/A
113,Afonso Zeca,-0.028816667
114,Afrob,-0.993
115,Afrob And Ferris Mc,-0.9879
116,Afrob Feat. Ferris Mc,-0.91265
118,Afroman,0.992533333
119,After 7,0.727125
120,After Crying,0.108685714
121,After The Fire,0.5865
122,Afterhours,-0.087055556
124,Agans Craig,0.194547059
125,Agathocles,-0.09724
126,Agathodaimon,-0.1726375
127,Age Of Electric,0.057604167
128,Agent Orange,-0.16715
129,Agent Steel,-0.191838462
130,Agents Of Chaos,-0.27082
131,Agents of Good Roots,0.550868421
132,Aglukark Susan,0.702866667
133,Agneta And Tomas Ledin,0.5719
134,Agneta Faltskog,0.570466667
135,Agnetha,0.60018
136,Agnetha Fandauml;ltskog,0.91975
137,Agnetha Fandauml;ltskog and Tomas Ledin,0.5719
138,Agnostic Front,-0.435041463
139,Agora,-0.9349
140,Agrama Gigi,-0.128
141,Agretator,-0.462211111
142,"Agua Dulce, Agua Sal&#225;",-0.296
143,Agua Na Boca,-0.296
144,Aguilera Cristina,0.9803
145,A-ha,0.170687324
146,Ahmad,0.900542857
147,Ahmad Band,#N/A
148,Aikakone,-0.4215
149,Aimee Mann,0.2008175
150,Aion,-0.2114
151,Air,0.386952941
152,Air Supply,0.559165833
153,Airija,#N/A
155,Akins Rhett,0.836533333
156,Akinyele,0.016733333
157,Akos,0.476952
158,Aksu Sezen,#N/A
159,Al Bano,-0.7783
160,Al Corley,0.7775
161,Al Green,0.99
162,Al Jarreau,0.9505
163,Al Martino,0.91955
164,Alabama,0.688033333
165,Aladin,0.9153
166,Alain Barriere And Novelle Cordier,#N/A
167,Alan And Denise,0.973
168,Alan Jackson,0.462392941
169,Alan Parson Project,-0.1081
170,Alan Parsons Project,0.051932558
171,Alan Price,0.8957
172,Alan Sorrenti,-0.5267
173,Alanis Morissette,0.356113208
174,Alanis Morissette (soundtrack: City Of Angels),0.973
175,Alanis Morrisette,0.9749
176,Alannah Myles,0.8406
177,Alarcon Ronaye,-0.6217
178,Alarm,0.031830612
179,Alastis,-0.230193548
180,Albano And Romina Power,-0.500433333
181,Albert Der Groaszlig;e,-0.9876
182,Albert Hammond,0.39095
183,Albert West,0.9843
184,Alberta,0.996
185,Albin Berger,-0.8316
186,Albita,-0.26555
187,Alcazar,0.529764706
188,Alchemist,0.2896875
189,Alda,0.8948
190,Alecia Elliott,0.50931
191,Alejandro Sanz,-0.601008511
192,Alessi,-0.408
193,Alex E,0.8717
194,Alex Nolze,#N/A
195,Alexander,0.9899
196,Alexander Oneal,0.84165
197,Alexander Oneal And Cherille,-0.9978
198,Alexandra,-0.9896
199,Alexandra Neldel Und Wolfgang Bahro Von Gzsz,-0.9309
200,Alexia,0.058168571
201,Alf (tommy Pieper),-0.9651
202,Alfie Khan,-0.0405
203,Alfoldi Sajtkrem,#N/A
204,Ali Primera,-0.6808
205,Ali Tatyana,0.51212
206,Alias,0.3453
207,Alice,-0.08735
208,Alice Babs,-0.89795
209,Alice Cooper,0.23405
210,Alice Deejay,0.3636125
211,Alice Donut,0.031038889
212,Alice in Chains,-0.217238806
213,Alicia Bridges,-0.9845
214,Alicia Keys,0.513216667
215,Alien Ant Farm,-0.036731579
216,Aliens,0.83445
217,Alifantis Nicu,#N/A
218,Alis,0.9912
219,Alisha,0.9829
220,Alishas Attic,0.113486957
221,Alison Krauss,0.494321739
222,Alison Moyet,0.5625
223,Alivaltiosihteeri,-0.478277778
224,Alkaline Trio,0.029385294
225,Alkbottle,#N/A
226,Alkehol,#N/A
227,All,-0.322841667
228,All 4 One,0.829716
229,All About Eve,0.218881633
230,All American Rejects,0.1684
231,All I Want,-0.7611
232,All Living Fear,-0.109568421
233,All Saints,0.503910909
234,All Star United,0.35104
235,All-4-one,0.669355556
236,Allan Gary,0.11085
237,Allan Peter,0.4939
238,Alldra,#N/A
239,Allegiance,-0.6204
240,Allen Rex,-0.7096
242,Allison Moorer,0.188595652
243,Allman Brothers Band,0.141653448
244,Allman Greg,0.5994
245,Allothropya,0.398775
246,Allure,0.747341667
247,Alm Sepp,-0.9508
248,Alma Megretta,0.2406
249,Almond Marc,-0.567
250,Along Comes Mary,-0.8801
251,Alpen Sepp,-0.9508
252,Alpenflamingos,-0.9136
253,Alpenland Quintett,-0.7527
254,Alpentrio Tirol,-0.920133333
255,Alpert Herb,0.9897
256,Alpha,0.26758125
257,Alphaville,0.266789344
258,Alpinkatzen,-0.5994
259,Alstone Deveille,-0.5994
260,Alt And The Lost Civilization,0.9808
261,Altar,-0.370646667
262,Altered,-0.20891
263,Altered Images,-0.22225
264,Altingediz Efe,#N/A
265,Altruda Joey,0.9462
266,Alux Nahual,-0.54868
267,Alvin Lee,0.6249
268,Alvin Stardust,0.222557143
269,Ama Shola,0.798966667
270,Amanda,0.068033333
271,Amanda Ghost,0.229366667
272,Amanda Lear,0.5282
273,Amanda Marshall,0.377644
274,Amanda Perez,0.3432875
275,Amazing Circus Midgets,0.533533333
276,Amazing Dave,0.153266667
277,Amazulu,0.9927
278,Amber,0.83425
279,Amboog-a-lard,-0.9924
280,Ambra,-0.3142
281,Ambros - Prokopetz - Tauchen,-0.8841
282,Ambros Wolfgang,-0.697478571
283,Ambrosia,0.298018605
284,Amebix,-0.7574
285,Amen,-0.704840625
286,America,0.428318902
287,American Hi-fi,0.1111
288,American Idol,0.697845455
289,American Lesion,0.0895375
290,American Music Club,0.268368
291,American Pearl,0.38313
292,Amfortas,0.5815
293,Amicus,0.9738
294,Amie,0.9179
