albumname,albumreleasedate,artistname
The Bigger Artist,2017-09-29,A Boogie Wit da Hoodie
Alive from the World Beyond (Live),2018-01-19,A Canorous Quintet
Playlist: The Very Best of A Flock of Seagulls,2008-08-19,A Flock Of Seagulls
Hunting High And Low,1985-06-01,a-ha
A Kiss to Build a Dream on,2014-09-20,Various Artists
Pop à la carte,2017-11-17,MRS X
Thirteenth Step,2003-09-16,A Perfect Circle
You're a Stranger,2018-02-28,SHRINE
Rattlesnake!,2008-09-09,A Static Lullaby
A Taste Of Honey,2006-07-18,A Taste Of Honey
We got it from Here... Thank You 4 Your service,2016-11-11,A Tribe Called Quest
N.R.G (feat. F R A N C I S),2016-06-22,OutaMatic
DECEMBERUNDERGROUND,2006-01-01,AFI
You Spin Me Round feat. A.K.Swift,1999,A.K.-S.W.I.F.T
Merriweather Post Pavilion,2009-01-20,Animal Collective
Heat,2017-02-08,Apv
The Bigger Artist,2017-09-29,A Boogie Wit da Hoodie
A1,2014-03-10,M Milli
Age Ain't Nothing But A Number,1994-05-22,Aaliyah
LØVË,2018-02-16,Aaron Carter
Living Out Loud,2003-01-07,Aaron Lines
The Very Best Of Aaron Neville,2000-01-11,Aaron Neville
Greatest Hits And Then Some,1997,Aaron Tippin
Humanistic,2001-09-25,Abandoned Pools
ABBA Gold,2008-01-01,ABBA
Precious & Rare: Abbey Lincoln,2011-08-25,Abbey Lincoln
ABC,1970-05-08,The Jackson 5
Abducted,2011-04-15,Cults
Forever Your Girl,1988-06-29,Paula Abdul
Terang... Sang,1995-12-19,Zainal Abidin
Höllenzwang (Chronicles of Perdition),2018-01-03,Abigor
Black,2016-08-26,Ablaze My Sorrow
To Our Forefathers,2010-05-11,I Am Abomination
Loco Enamorado,2017-06-23,Abraham Mateo
Getting Along - Songs for Pre Schoolers,2009-10-01,Rita Abrams
Moska Apresenta Zoombido: Fernanda Abreu,2018-03-09,Fernanda Abreu
Les fables de La Fontaines (Versions chantées et instrumentales),2012-11-16,Patrick Abrial
Un Zombie A La Intemperie (Pedro Abrunhosa Version),2015-10-19,Alejandro Sanz
Absent Friends,2004-01-26,The Divine Comedy
Absint,2012,Nimbaso
Absolom,2011-04-07,Matt Prehn
Advanced Chemistry,2016-08-26,Beginner
Absu,2009-02-16,Absu
Abyssos,2008-02-11,Venus Vulture
Back In Black,1980-07-25,AC/DC
Balls To The Wall,1983,Accept
A2J,1998,According To John
Acda & De Munnik,1997-06-27,Acda en de Munnik
Trust the Process,2017-08-21,Ace Hood
Ace Frehley (Remastered Version),1978,Ace Frehley
The Sign (US Album) [Remastered],1993,Ace of Base
Vice Versa (feat. WSTRN),2018-01-26,One Acen
Acetone,2017-10-20,Vundabar
A Book of Human Language,1998-04-14,Aceyalone
Acheron,2015-03-22,Mechina
Melancholie und Sturmflut,1991,Achim Reichel
Verses Of Steel,2010-07-28,Acid Drinkers
Acid Rain EP,2017-04-16,Cold Coffee
"I Wish I Knew How It Would Feel to Be Free (From Tyler Perry's ""Acrimony"")",2018-03-30,Andra Day
Acrostichon,2009-11-26,Isopoda
Goldrake Actarus Compilation,2013-01-02,Rainbow Cartoon Project
Locked & Loaded,2013-09-17,Eve To Adam
