Row Labels,Count of genres
"""children's christmas""",10
"""children's christmas""NONE",2
"""children's music""",4
"""children's music""NONE",3
"""traditional rock 'n roll""NONE",7
a cappella,2
a cappellaNONE,3
abstract hip hop,4
abstract hip hopNONE,1
acid house,19
acid idmNONE,1
acid jazz,6
acid jazzNONE,1
acid techno,1
acoustic blues,43
acoustic pop,15
adult standards,274
african rock,2
african rockNONE,1
afrobeat,1
afrobeats,1
afropop,4
afropopNONE,1
aggrotech,9
album rock,347
albuquerque indie,1
alternative country,48
alternative dance,10
alternative emo,12
alternative hip hop,43
alternative metal,170
alternative pop,51
alternative pop rock,2
alternative popNONE,7
alternative rock,115
alternative roots rock,3
alternative roots rockNONE,1
alt-indie rock,1
ambient,3
anarcho-punk,3
anarcho-punkNONE,2
andean,2
anime,2
anime score,1
anthem emoNONE,4
anthem worship,3
anti-folk,8
antiviral pop,4
appalachian folk,1
arab pop,1
arab popNONE,1
arabesk,1
argentine indie,1
argentine rock,10
armenian folkNONE,1
art pop,25
art rock,75
athens indie,2
athens indieNONE,1
atmospheric black metal,18
atmospheric post rock,3
atmospheric post-metal,1
aussietronica,1
australian alternative rock,21
australian alternative rockNONE,2
australian country,3
australian countryNONE,1
australian dance,10
australian garage punk,2
australian hardcoreNONE,1
australian hip hopNONE,2
australian pop,11
australian popNONE,17
austrian hip hop,1
austropop,15
austropopNONE,14
avant-garde jazz,2
avantgarde metal,6
axe,17
bachata,8
baile pop,4
baile popNONE,1
balearicNONE,1
balkan brassNONE,1
ballroom,2
banda,12
barbershopNONE,1
barnmusik,2
baroque,1
baroque ensemble,4
basque rockNONE,1
bass music,1
bass trap,3
bassline,1
bay area indie,2
beatdown,1
beatdownNONE,1
bebop,3
belgian rock,10
belgian rockNONE,3
belorush,1
belorushNONE,1
big band,2
big bandNONE,1
big beat,17
big room,5
black death,5
black metal,40
black thrash,8
black thrashNONE,2
blackgaze,1
blaskapelleNONE,1
bluegrass,9
blues,12
blues-rock,25
bmore,1
bolero,8
boogaloo,1
bossa nova,20
bossa nova jazzNONE,1
boston rock,7
bounce,1
bounceNONE,1
bow pop,10
boy band,44
boy bandNONE,16
brazilian ccmNONE,1
brazilian electronica,2
brazilian gospelNONE,1
brazilian hip hop,3
brazilian hip hopNONE,1
brazilian metal,1
brazilian metalNONE,1
brazilian punk,5
brazilian punkNONE,1
brega,2
bregaNONE,2
brill building pop,71
brill building popNONE,4
british alternative rock,1
british alternative rockNONE,2
british blues,5
british bluesNONE,2
british dance bandNONE,1
british folk,15
british folkNONE,1
british invasion,2
britpop,42
britpopNONE,4
broadway,14
broadwayNONE,2
brooklyn indie,2
brostep,2
brutal death metal,18
brutal deathcore,1
bubble trance,5
bubble tranceNONE,2
bubblegum dance,63
bubblegum danceNONE,6
bubblegum pop,25
bubblegum popNONE,16
c86,1
cabaret,47
cabaretNONE,3
calypso,1
canadian country,15
canadian countryNONE,6
canadian hip hop,1
canadian indie,27
canadian indieNONE,19
canadian metal,3
canadian pop,19
canadian popNONE,1
candy pop,10
candy popNONE,1
cantautor,26
canterbury scene,3
canzone napoletana,1
catstep,1
ccm,52
celloNONE,1
celtic,29
celtic christmas,2
