id,artistid,artist,title,compound_score
59791,4981,Le Angeli,Easy Lovin',0.9862
59793,4982,Le Ann Rimes,How Do I Live,-0.5756
59794,4983,Le Ann Womack,After I Fall,0.9678
59806,4984,Le Couple,Wishes,0.9716
59807,4985,Le Forestier Maxime,A Sert Quoi Tout A,-0.5423
59815,4986,Le Orme,Calipso,0.34
59829,4987,Le Tribu Du Dana,Manau,-0.8481
59830,4988,Le&#241;o,Maneras De Vivir,-0.6908
59831,4989,Lea,Hanna,-0.8841
59832,4990,Lea Salonga,Afraid for Love to Fade,-0.4865
59834,4991,Lead Into Gold,#NAME?,-0.6369
59841,4992,Leaether Strip,How Do I Know?,-0.296
59848,4993,Leah Andreone,It's Alright It's Ok,-0.583
59849,4994,Leandro And Leonardo,Essas Mulheres (esas Mujeres),0.3802
59852,4995,Leandro E Leonardo,Cerveja,-0.5267
59855,4996,Leandros Vicky,Ich Hab' Die Liebe Geseh'n,-0.9864
59856,4997,Leann Rimes,All The Lovin' And The Hurtin',-0.8481
59944,4998,Leann Rimes - How Do I Live,Leann Rimes - How Do I Live,0.2718
59945,4999,Leapy Lee,Little Arrows,0.8658
59946,5000,Lear Amanda,Black Holes,0.9715
59954,5001,Leary Denis,Asshole,0.9884
59958,5002,Leather Strip,Adrenaline Rush,-0.9337
59967,5003,Leatherstrip,Antius (psycho Strip Edit),-0.0516
59971,5004,Lebo M,He Lives In You,-0.128
59972,5005,Lecker Fischbrandauml;t,80% Aller T&amp;ouml;dlichen Unf&amp;auml;lle Passieren Im Haushalt,-0.9899
59979,5007,Leclerc F&#233;lix,Le Petit Bonheur,0.6124
59982,5008,Led Zeplin,Stairway To Heaven,0.4284
59983,5009,Led Zeppelin,Achilles Last Stand,0.9861
60100,5010,Ledoux Chris,A Cowboy's Just Got To Ride,0.9514
60117,5011,Lee Alvin,Id Love To Change The World,0.9127
60118,5012,Lee Ann Womack,Buckaroo,0.9769
60122,5013,Lee Ben,16,0.9309
60176,5014,Lee Brenda,As Usual,-0.8225
60179,5015,Lee Curtis,Shame In Scandal In The Family,-0.996
60180,5016,Lee Dickie,Patches,0.9451
60181,5017,Lee Majors,The Unknown Stuntman,-0.7514
60183,5018,Lee Marrow,Sayonara (don't Stop),0.7373
60185,5019,Lee Marvin,Wand'rin' Star,-0.7849
60186,5020,Lee Peggy,Fever,0.9727
60187,5021,Lee Reed,Montego - Bay,0.6524
60188,5022,Lee Rick,Natick,0.5994
60191,5023,Lee Rita,Al&#244;!al&#244;! Marciano,-0.7762
60205,5024,Lee Rocker,Mr. Newman,0.9844
60206,5025,Lees Gene,Song Of The Jet,0.9062
60207,5026,Left Banke,Walk Away Renee,-0.961
60208,5027,Left Hand Solution,Angels With The Last Plagues,0.3182
60221,5028,Lefthanded,Tiada Lagi Kidungmu,-0.5106
60222,5029,Legenda,All Flesh Is Grass,-0.7579
60235,5030,Legendary Pink Dots,A Crack In Melancholy Time,0.863
60274,5031,Legiao Urbana,1o De Julho,0.6124
60366,5032,Legrand Michel,The Windmills Of Your Mind,0.7674
60368,5033,Lehmann Mike,Weita Weita,-0.4515
60369,5034,Lehmanns Gesangssolisten,Nur Ein J&amp;auml;ger Allein,-0.8172
60370,5035,Lehrer Tom,Vatican Rag,0.9626
60371,5036,Leif Garrett,Runaround Sue,0.9386
60373,5037,Leila Negra,Ein Strau&amp;szlig; Vergi&amp;szlig;meinnicht,-0.9323
60374,5038,Leila Negra And Peter Alexander,Mein Gro&amp;szlig;er Bruder,-0.5994
60375,5039,Leinemann,Mein Tuut Tuut,-0.9575
60377,5040,Leipziger Knabenchor,Alle Meine Entchen,-0.5994
60378,5041,Leloup Jean,1990,0.5267
60394,5042,Lemay Linda,C'est Vendredi,0.6908
60396,5043,Lemay Lynda,Accrocher Mon Coeur,-0.1511
60426,5044,Lemon Pipers,Green Tambourine,0.7845
60427,5045,Lemonheads,3/9/04,-0.5597
60481,5046,Lems Kristin,Cuyahoga River,-0.25
60491,5047,Len,Cryptik Souls Crew,0.8417
60494,5048,Lena Andersson,Fernando,-0.9961
60496,5049,Lena Horne,A Fine Romance,0.9962
60498,5050,Lena Valeitis,Da Kommt Jose,-0.9357
60505,5051,Lene Marlin,A Place Nearby,0.063
60514,5052,Leningrad Cowboys,Brave New World,0.8119
60527,5053,Lennon John,#9 Dream,0.9288
60596,5054,Lennon Julian,New Physics Rant,0.6524
60600,5055,Lennox Annie,Angel,0.8377
60605,5056,Lenny Kravitz,A Million Miles Away,0.7794
