title,followers_count,genres,popularity
A Boogie Wit da Hoodie,1368450,"['pop', 'rap', 'trap music']",84
A Canorous Quintet,347,[],9
A Flock Of Seagulls,119535,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop']",60
a-ha,457312,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'soft rock', 'synthpop']",72
A Kiss To Build A Dream On,44,[],0
A klana Indiana,175,[],18
A La Carte,993,['italian disco'],26
A Perfect Circle,557899,"['alternative metal', 'alternative rock', 'modern rock', 'nu metal', 'post-grunge', 'rap metal', 'rap rock', 'rock']",68
A Shrine,34,[],2
A Static Lullaby,30880,"['melodic metalcore', 'metalcore', 'post-hardcore', 'screamo']",40
A Taste Of Honey,5056,"['disco', 'post-disco']",42
A*Teens,46920,"['bubblegum dance', 'dance pop', 'eurodance', 'europop', 'pop christmas']",49
A Tribe Called Quest,712865,"['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap']",71
F R A N C I S,73,[],30
AFI,360408,"['alternative metal', 'emo', 'modern rock', 'nu metal', 'pop punk', 'post-grunge', 'punk', 'screamo', 'skate punk']",64
AK-Swift,10,[],0
Animal Collective,255839,"['alternative dance', 'alternative rock', 'art pop', 'chamber pop', 'chillwave', 'dance-punk', 'dream pop', 'experimental rock', 'folk-pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'indietronica', 'lo-fi', 'modern rock', 'neo-psychedelic', 'new rave', 'noise pop', 'noise rock', 'synthpop']",58
Apv,7,[],0
A Boogie Wit da Hoodie,1368450,"['pop', 'rap', 'trap music']",84
A1,2311,[],51
Aaliyah,994158,"['dance pop', 'hip hop', 'hip pop', 'indie r&b', 'neo soul', 'pop', 'pop rap', 'r&b', 'urban contemporary']",62
Aaron Carter,90534,"['dance pop', 'post-teen pop']",58
Aaron Lines,3907,"['canadian country', 'country road']",23
Aaron Neville,44654,"['jazz blues', 'jazz christmas', 'memphis soul', 'motown', 'new orleans blues', 'pop christmas', 'quiet storm', 'soul', 'soul blues', 'soul christmas', 'southern soul']",55
Aaron Tippin,140500,"['contemporary country', 'country', 'country christmas', 'country road', 'country rock', 'outlaw country', 'redneck', 'traditional country']",53
Abandoned Pools,3639,[],26
ABBA,951678,"['europop', 'swedish pop']",75
Abbey Lincoln,9790,"['cabaret', 'christmas', 'jazz christmas', 'vocal jazz']",39
ABC,79251,"['art rock', 'dance rock', 'disco', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']",55
Abducted,21,[],0
Paula Abdul,188753,"['dance pop', 'europop', 'new wave pop', 'pop rock', 'strut', 'urban contemporary']",57
Zainal Abidin,2330,['malaysian pop'],29
Abigor,5915,"['atmospheric black metal', 'avantgarde metal', 'black metal', 'chaotic black metal', 'dark black metal', 'pagan black metal', 'symphonic black metal', 'viking metal', 'voidgaze']",25
Ablaze My Sorrow,1234,"['melodic death metal', 'swedish metal']",14
I Am Abomination,10361,"['progressive post-hardcore', 'screamo']",25
Abraham Mateo,331090,"['latin arena pop', 'spanish pop']",75
Rita Abrams,20,[],6
Fernanda Abreu,41421,"['mpb', 'samba']",44
Patrick Abrial,60,[],2
Pedro Abrunhosa,15468,"['fado', 'portuguese rock']",41
Absent Friends,155,[],32
Absint,5,[],16
Absolom,597,['bubble trance'],26
Beginner,149642,"['german hip hop', 'german pop', 'reggae fusion']",58
Absu,11343,"['atmospheric black metal', 'avantgarde metal', 'black death', 'black metal', 'black thrash', 'death metal', 'pagan black metal', 'symphonic black metal', 'technical death metal', 'usbm']",27
Abyssos,1194,['symphonic black metal'],10
AC/DC,6218757,"['album rock', 'classic rock', 'hard rock', 'heavy christmas', 'rock']",83
Accept,207174,"['album rock', 'german metal', 'glam metal', 'hard rock', 'metal', 'power metal', 'progressive metal', 'rock', 'speed metal', 'thrash metal']",56
According To John,134,[],4
Acda en de Munnik,29070,['dutch pop'],56
Ace Hood,663684,"['crunk', 'deep underground hip hop', 'dirty south rap', 'dwn trap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",65
Ace Frehley,51954,"['album rock', 'glam metal', 'hard rock', 'metal', 'rock']",45
Ace of Base,173448,"['bubblegum dance', 'dance pop', 'eurodance', 'europop', 'hip house', 'new wave pop', 'pop rock', 'swedish pop']",65
One Acen,12593,[],62
Acetone,1015,['slow core'],30
Aceyalone,14489,"['abstract hip hop', 'alternative hip hop', 'hip hop', 'turntablism', 'underground rap']",42
Acheron,1490,[],11
Achim Reichel,7888,"['german pop', 'liedermacher']",41
Acid Drinkers,10098,['polish punk'],31
Acid Rain,108,[],1
Acolla,1,[],0
Acrimony,278,"['stoner metal', 'stoner rock']",3
Acrostichon,97,[],0
Actarus,110,[],17
Actitud María Marta,3391,[],21
Adam & Eve,1587,[],15
Adam & The Ants,67546,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'post-punk', 'punk', 'ska', 'synthpop', 'uk post-punk']",46
Adam Ant,55760,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'synthpop']",44
Adam Sandler,42844,"['comedy', 'comic']",44
Adamo,37570,['chanson'],48
Bryan Adams,693344,"['album rock', 'canadian pop', 'mellow gold', 'rock', 'soft rock']",74
Oleta Adams,38384,"['quiet storm', 'soul christmas']",54
Music Addict,9,[],18
Adema,85262,"['alternative metal', 'groove metal', 'industrial metal', 'industrial rock', 'nu metal', 'post-grunge', 'rap metal', 'rap rock']",50
Adeva,3541,"['chicago house', 'hip house', 'post-disco', 'speed garage', 'vocal house']",31
