 ID  ,title,followers_count,genres,popularity,avgcompscore
1,A Boogie Wit da Hoodie,1371562,"['pop', 'rap', 'trap music']",84,0.410428571
2,A Canorous Quintet,347,[],9,-0.535836364
3,A Flock Of Seagulls,119714,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop']",60,0.384815385
4,a-ha,458004,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'soft rock', 'synthpop']",72,0.1678875
5,A Kiss To Build A Dream On,44,[],0,-0.9796
6,A klana Indiana,175,[],18,0.9485
7,A La Carte,1014,['italian disco'],26,-0.697566667
8,A Perfect Circle,558390,"['alternative metal', 'alternative rock', 'modern rock', 'nu metal', 'post-grunge', 'rap metal', 'rap rock', 'rock']",68,0.521583333
9,A Shrine,34,[],2,-0.125016667
10,A Static Lullaby,30902,"['melodic metalcore', 'metalcore', 'post-hardcore', 'screamo']",40,0.8215
11,A Taste Of Honey,5063,"['disco', 'post-disco']",42,0.15512
12,A*Teens,46973,"['bubblegum dance', 'dance pop', 'eurodance', 'europop', 'pop christmas']",49,-0.0921875
13,A Tribe Called Quest,713465,"['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap']",71,0.9826
14,F R A N C I S,73,[],30,0.43129
15,AFI,360696,"['alternative metal', 'emo', 'modern rock', 'nu metal', 'pop punk', 'post-grunge', 'punk', 'screamo', 'skate punk']",64,0.46938
16,AK-Swift,10,[],0,0.8678
17,Animal Collective,255986,"['alternative dance', 'alternative rock', 'art pop', 'chamber pop', 'chillwave', 'dance-punk', 'dream pop', 'experimental rock', 'folk-pop', 'freak folk', 'indie folk', 'indie pop', 'indie rock', 'indietronica', 'lo-fi', 'modern rock', 'neo-psychedelic', 'new rave', 'noise pop', 'noise rock', 'synthpop']",58,-0.09125625
18,Apv,7,[],0,0.25
19,A Boogie Wit da Hoodie,1371562,"['pop', 'rap', 'trap music']",84,0.415029167
20,A1,2317,[],51,-0.004664706
21,Aaliyah,995690,"['dance pop', 'hip hop', 'hip pop', 'indie r&b', 'neo soul', 'pop', 'pop rap', 'r&b', 'urban contemporary']",62,0.9959
22,Aaron Carter,90626,"['dance pop', 'post-teen pop']",58,-0.487561905
23,Aaron Lines,3917,"['canadian country', 'country road']",23,nan
24,Aaron Neville,44690,"['jazz christmas', 'memphis soul', 'motown', 'new orleans blues', 'pop christmas', 'quiet storm', 'soul', 'soul blues', 'soul christmas', 'southern soul']",55,0.9969
25,Aaron Tippin,140711,"['contemporary country', 'country', 'country christmas', 'country gospel', 'country road', 'country rock', 'outlaw country', 'redneck', 'traditional country']",53,0.528721622
26,Abandoned Pools,3639,[],26,0.442119753
27,ABBA,952727,"['europop', 'swedish pop']",75,0.8862
28,Abbey Lincoln,9798,"['cabaret', 'christmas', 'jazz christmas', 'vocal jazz']",39,0.670409804
29,ABC,79419,"['art rock', 'dance rock', 'disco', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']",55,0.80304
30,Abducted,21,[],0,0.612520833
