main_artist,avg_year,avg_rank,avg_comp_score,avg_pos_score,avg_neu_score,avg_neg_score,sp_id,sp_name,followers_count,popularity,genres
100 proof aged in soul,1970.0,84.0,nan,nan,nan,nan,6i6WlGzQtXtz7GcC5H5st5,10cc,150294,62,"['album rock', 'art rock', 'classic rock', 'dance rock', 'folk rock', 'glam rock', 'mellow gold', 'progressive rock', 'rock', 'singer-songwriter', 'soft rock', 'symphonic rock']"
10000 maniacs,1994.0,40.0,0.9936,0.234,0.699,0.066,7urq0VfqxEYEEiZUkebXT4,112,150294,62,"['dance pop', 'gangster rap', 'hip hop', 'hip pop', 'neo soul', 'new jack swing', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']"
10cc,1976.0,43.0,0.9955,0.191,0.771,0.038,17vIaBTHJOVxnU4v7t1DiY,1910 Fruitgum Company,363743,69,"['bubblegum pop', 'merseybeat']"
112,1999.83333333,50.5,0.66835,0.1465,0.796,0.0575,17lzZA2AlOHwCwFALHttmp,2 Chainz,6015,29,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
1910 fruitgum company,1968.33333333,49.3333333333,0.496666666667,0.189333333333,0.731333333333,0.0793333333333,7JBMlJmJpOk87BZTdbYSHD,2 Pistols,2507916,88,"['crunk', 'dirty south rap', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
2 chainz,2012.5,76.5,-0.97305,0.1075,0.676,0.2165,0OarfYzJPCi3lAVZ4nhTTd,20 Fingers,12710,38,"['eurodance', 'hip house']"
2 pistols,2008.0,100.0,0.8677,0.092,0.835,0.073,1URnnhqYAYcrqrcwql10ft,21 Savage,2579,38,"['pop', 'rap', 'trap music']"
20 fingers,1995.0,76.0,-0.9939,0.054,0.603,0.343,1ZwdS5xdxEREPySFridCfh,2Pac,3631056,91,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']"
21 savage,2017.0,48.0,0.2487,0.21,0.618,0.172,2RTUTCvo6onsAnheUk3aL9,3 Doors Down,3724899,82,"['alternative metal', 'heavy christmas', 'nu metal', 'pop punk', 'pop rock', 'post-grunge', 'rap metal', 'rap rock', 'rock']"
2pac,1996.5,59.0,0.58782,0.1486,0.7456,0.106,3zXw2Eh96iTT51pytzHdZi,38 Special,1391252,74,"['album rock', 'classic rock', 'country rock', 'folk rock', 'glam metal', 'hard rock', 'heavy christmas', 'mellow gold', 'rock', 'soft rock', 'southern rock']"
3 doors down,2003.125,40.875,0.9385875,0.146375,0.794625,0.05925,2lFHVcUeJ9Gq6AZiU3ZAOa,3LW,230344,58,"['dance pop', 'hip pop', 'pop christmas', 'r&b', 'soul christmas', 'urban contemporary']"
38 special,1985.5,58.0,0.99495,0.1945,0.7555,0.05,5rAaG3OuMuWvPWYji9TDgh,3T,148860,48,"['boy band', 'new jack swing', 'soul christmas']"
3lw,2001.0,69.0,-0.9788,0.085,0.774,0.14,0Je74SitssvJg1w4Ra2EK7,4 Non Blondes,20204,40,"['new wave pop', 'pop rock']"
3oh3,2009.5,51.5,0.99085,0.2235,0.757,0.0195,5Rl15oVamLq7FbSb0NNBNy,5 Seconds of Summer,144065,65,"['pop', 'pop punk', 'post-teen pop']"
3t,1996.0,43.0,0.9985,0.21,0.76,0.03,3q7HBObVc0L8jNeTe5Gofh,50 Cent,2892015,79,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']"
4 non blondes,1993.0,50.0,0.9919,0.226,0.715,0.059,7qeBsFLeNEuzrDhDMbnDwF,69 Boyz,3524686,83,"['crunk', 'miami bass']"
4:00 PM,1995.0,48.0,0.9513,0.13,0.797,0.073,2S8UlyXW4JjjHcbeg8ddIo,702,22755,41,"['hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'southern hip hop', 'urban contemporary']"
5 seconds of summer,2014.0,89.5,0.9705,0.117,0.8195,0.0635,15i1niWKFEj0zqnhtYAv7D,8th Day,184112,53,[]
50 cent,2004.33333333,33.3333333333,0.189533333333,0.101222222222,0.823444444444,0.0752222222222,3vjd6YHdWCqO3MWaYbxDf0,95 South,6171,37,['miami bass']
69 boyz,1994.5,64.0,0.9457,0.04,0.94,0.019,6V03b3Y36lolYP2orXn8mV,98º,7152,23,['dance pop']
702,1998.0,29.5,0.98965,0.14,0.8235,0.0365,31W5EY0aAly4Qieq6OFu6I,A Boogie Wit da Hoodie,103831,57,"['pop', 'rap', 'trap music']"
8th day,1971.0,64.0,nan,nan,nan,nan,0uAjBatvB4ubpd4kCfjmNt,A Flock Of Seagulls,1376315,84,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop']"
95 south,1993.0,44.0,0.9988,0.158,0.833,0.009,5xKp3UyavIBUsGy3DQdXeF,A Great Big World,119949,60,"['neo mellow', 'piano rock', 'pop rock']"
98 degrees,1998.66666667,59.6666666667,-0.03735,0.131,0.785666666667,0.0835,1ii6e2pv8VIRwnTER71rMl,A Taste Of Honey,270188,69,"['disco', 'post-disco']"
a boogie wit da hoodie,2017.0,81.0,-0.9874,0.085,0.783,0.133,0urTpYCsixqZwgNTkPJOJ4,Aaliyah,5070,42,"['dance pop', 'hip hop', 'hip pop', 'indie r&b', 'neo soul', 'pop', 'pop rap', 'r&b', 'urban contemporary']"
a flock of seagulls,1982.0,67.0,0.8692,0.073,0.91,0.017,772SIFJQiXTCfxncTK1UMn,Aaron Hall,997979,62,"['neo soul', 'new jack swing', 'quiet storm', 'r&b', 'soul christmas', 'urban contemporary']"
a great big world,2014.0,17.0,0.9771,0.199,0.784,0.017,57ALvbCBaCkNlgTOSiUPdT,Aaron Neville,126711,48,"['jazz christmas', 'memphis soul', 'motown', 'new orleans blues', 'pop christmas', 'quiet storm', 'soul', 'soul blues', 'soul christmas', 'southern soul']"
a taste of honey,1979.5,15.5,0.0022,0.076,0.8135,0.1105,0LcJLqbBmaGUft1e9Mm8HV,ABBA,44732,55,"['europop', 'swedish pop']"
aaliyah,1999.0,61.6363636364,0.479009090909,0.103545454545,0.838454545455,0.0582727272727,2s79xe5F6eUQkjwjww27Fh,ABC,953813,75,"['art rock', 'dance rock', 'disco', 'new romantic', 'new wave', 'new wave pop', 'soft rock', 'synthpop']"
aaron hall,1994.0,57.0,0.9947,0.191,0.667,0.142,31HjiqargV4NAw4GZqUale,Ace Hood,79585,55,"['crunk', 'dirty south rap', 'dwn trap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
aaron neville,1979.0,81.5,0.01325,0.2125,0.6665,0.121,62olK5zZHSgFUXGDykgBL8,Ace Frehley,665498,65,"['album rock', 'glam metal', 'hard rock', 'metal', 'rock']"
abba,1977.5,51.6666666667,0.953366666667,0.166,0.754666666667,0.0793333333333,31HjiqargV4NAw4GZqUale,Ace Hood,52068,45,"['crunk', 'dirty south rap', 'dwn trap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap music']"
abc,1986.0,70.5,0.96085,0.2175,0.698,0.0845,5ksRONqssB7BR161NTtJAm,Ace of Base,665498,65,"['bubblegum dance', 'dance pop', 'eurodance', 'europop', 'hip house', 'new wave pop', 'pop rock', 'swedish pop']"
ace,1975.0,57.0,0.4808,0.074,0.856,0.069,3QP0XPDwbvGivqDAaJ5f5G,Adam Ant,173793,65,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'synthpop']"
ace frehley,1979.0,60.0,0.8377,0.073,0.888,0.039,4VNYuBtDAKCIisEyieUVzc,Adam Clayton,55988,44,[]
ace hood,2013.0,91.0,-0.997,0.064,0.767,0.169,6prmLEyn4LfHlD9NnXWlf7,Adam Lambert,744,40,"['dance pop', 'idol', 'pop', 'post-teen pop']"
ace of base,1994.83333333,38.5,0.568083333333,0.113666666667,0.796,0.0903333333333,4dpARuHxo51G3z768sgnrY,Adele,638017,65,['pop']
adam ant,1983.0,51.0,nan,nan,nan,nan,266SmBZTt4zRzaKEANWbfQ,Adina Howard,8631327,85,"['hip pop', 'neo soul', 'new jack swing', 'r&b', 'urban contemporary']"
adam clayton,1996.0,66.0,0.6369,0.067,0.933,0.0,7Ey4PD4MYsKc5I2dolUwbH,Aerosmith,97491,48,"['album rock', 'classic rock', 'hard rock', 'rock']"
adam lambert,2010.0,45.0,0.9653,0.178,0.767,0.055,4UPcJIhr5K5fPsm4itqT7E,After 7,3781446,78,"['funk', 'hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
adele,2013.63636364,41.2727272727,0.480109090909,0.150181818182,0.762090909091,0.0878181818182,194g4SFwSSzyPtgkH7v3Cx,After The Fire,144282,51,['new romantic']
adina howard,1995.0,13.0,-0.9199,0.069,0.847,0.084,2jzc5TC5TVFLXQlBNiIUzE,a-ha,2642,40,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'soft rock', 'synthpop']"
aerosmith,1990.25,64.3333333333,0.42885,0.171416666667,0.718333333333,0.11025,6gc6oo3u2f7SqTd4mhe81O,Ahmad Jamal,458811,72,"['avant-garde jazz', 'bebop', 'contemporary jazz', 'contemporary post-bop', 'cool jazz', 'free jazz', 'hard bop', 'jazz', 'jazz blues', 'jazz funk', 'jazz fusion', 'jazz piano', 'latin jazz', 'soul jazz', 'stride', 'vocal jazz']"
after 7,1991.66666667,67.3333333333,0.9766,0.186,0.773,0.0406666666667,4xXCRXOfQKQ2gjWxNhNzYW,Air Supply,38839,50,"['mellow gold', 'soft rock']"
after the fire,1983.0,30.0,-0.3622,0.071,0.86,0.07,0z4gvV4rjIZ9wHck67ucSV,Akon,418458,68,"['dance pop', 'hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']"
aha,1985.0,10.0,0.8519,0.099,0.846,0.054,1fvz0vd4P0LNMkAysF1ivk,Al B. Sure!,1443197,80,"['funk', 'hip pop', 'neo soul', 'new jack swing', 'post-disco', 'quiet storm', 'r&b', 'urban contemporary']"
ahmad,1994.0,93.0,0.8073,0.06,0.892,0.048,3dkbV4qihUeMsqN4vBGg93,Al Green,144799,49,"['chicago soul', 'classic funk rock', 'funk', 'jazz blues', 'memphis soul', 'neo soul', 'quiet storm', 'soul', 'soul blues', 'soul christmas', 'southern soul']"
air supply,1981.375,42.0,0.8083625,0.18,0.758,0.062125,0DW7boyjvbaSP3OJ72sXgC,Al Stewart,790237,69,"['album rock', 'art rock', 'folk', 'folk rock', 'mellow gold', 'progressive rock', 'singer-songwriter', 'soft rock', 'symphonic rock']"
akon,2006.75,37.25,0.4925375,0.125125,0.80575,0.069125,2RwV62DIxFGEn8aWO3iaMM,Al Wilson,54510,52,"['chicago soul', 'motown', 'northern soul']"
al b sure,1988.0,87.0,0.9924,0.171,0.759,0.07,6rJqqRce0Kvo2dJUXoHleC,Alabama,5622,41,"['contemporary country', 'country', 'country christmas', 'country road', 'country rock', 'southern rock', 'traditional country']"
al green,1972.5,46.8333333333,0.9806,0.2125,0.7195,0.0676666666667,4mxWe1mtYIYfP040G38yvS,Alan Jackson,312143,64,"['contemporary country', 'country', 'country christmas', 'country road', 'traditional country']"
al stewart,1978.0,85.5,0.35425,0.0575,0.9015,0.0415,63f6RFsOlwDMnAuDwjB58Y,Alan O'Day,711378,73,[]
al wilson,1974.0,15.0,0.9943,0.167,0.814,0.019,6ogn9necmbUdCppmNnGOdi,Alanis Morissette,368,23,"['alternative rock', 'canadian pop', 'dance pop', 'folk-pop', 'lilith', 'new wave pop', 'pop rock']"
alabama,1987.33333333,77.3333333333,0.992033333333,0.251,0.678,0.0713333333333,6IYnSXO40Bh7Zdqhf6rQoj,Alannah Myles,849735,69,['new wave pop']
alan jackson,2002.75,82.75,0.381625,0.13675,0.78525,0.078,1Li0eIWeMeWcOOWpImcG9H,"Albert Hammond, Jr.",31453,56,"['dance-punk', 'garage rock', 'indie pop', 'indie rock', 'modern rock', 'new rave', 'punk blues']"
alan oday,1977.0,9.0,0.9991,0.326,0.661,0.013,2wUjUUtkb5lvLKcGKsKqsR,Alessia Cara,72792,59,"['dance pop', 'pop', 'post-teen pop', 'viral pop']"
alanis morissette,1998.0,45.6666666667,0.9843,0.1865,0.743,0.07,5Tf4EH8tDvznnjULcFxkIl,Alex Clare,2750853,83,[]
alannah myles,1990.0,18.0,0.984,0.153,0.814,0.033,3EhbVgyfGd7HkpsagwL9GS,Alice Cooper,609105,64,"['album rock', 'classic rock', 'comic', 'glam metal', 'glam rock', 'hard rock', 'heavy christmas', 'metal', 'protopunk', 'rock']"
albert hammond,1973.0,98.0,0.9285,0.092,0.908,0.0,0aNCjE72yyrhKQB1qfPBpi,Alice Deejay,802873,65,"['bubble trance', 'bubblegum dance', 'eurodance', 'europop', 'hip house']"
alessia cara,2016.0,54.3333333333,0.988933333333,0.143333333333,0.793,0.0636666666667,1UY4oIFpjCKe5qIhKDcloe,Alicia Bridges,38405,47,['disco']
alex clare,2012.0,30.0,0.9984,0.306,0.674,0.02,3DiDSECUqqY1AuBP8qtaIa,Alicia Keys,3805,37,"['hip pop', 'neo soul', 'pop', 'pop christmas', 'post-teen pop', 'r&b', 'urban contemporary']"
alice cooper,1978.16666667,74.1666666667,0.01115,0.126333333333,0.766,0.107166666667,6sIWmcJRaS1WZe5XPjRf0j,Alive 'N Kickin',3865015,80,['bubblegum pop']
alice deejay,2000.0,88.0,0.932,0.234,0.61,0.156,5TDVKqW9uhqGjwwwKGuma4,All Saints,209,22,"['canadian pop', 'dance pop', 'europop', 'new wave pop', 'pop rock', 'uk garage']"
alicia bridges,1978.5,76.0,0.9984,0.326,0.636,0.038,58QRoDvowussS08KqAwzrA,All4one,121992,57,[]
alicia keys,2006.33333333,43.9166666667,0.290458333333,0.118666666667,0.799083333333,0.0821666666667,1VPr8y4GGZJBtWyaoLdYUT,Allure,42,2,[]
alive n kickin,1970.0,47.0,0.9802,0.222,0.778,0.0,0id62QV2SZZfvBn9xpmuCl,Aloe Blacc,5700,38,['pop rap']
all saints,1998.0,42.0,-0.9679,0.109,0.752,0.139,5DqmNLPM1kAbSBQk2FMm6b,Amanda Perez,448916,71,"['deep pop r&b', 'hip pop', 'r&b', 'urban contemporary']"
all4one,1994.33333333,15.0,nan,nan,nan,nan,5wpS6LUdQYMoAreKITVtrH,Amazing Rhythm Aces,135808,46,"['country rock', 'outlaw country', 'piedmont blues', 'pub rock', 'roots rock', 'southern rock']"
allen kriskris allen,2010.0,48.0,nan,nan,nan,nan,0MmnmsAuQKRFpo6vJElcaU,Amber Run,5469,37,"['indie anthem-folk', 'indie folk']"
allure,1997.5,63.5,-0.9899,0.112,0.655,0.233,0J2Ej2rMQyqaUX3G6MUISw,Ambrosia,182263,65,"['album rock', 'art rock', 'classic rock', 'folk rock', 'mellow gold', 'rock', 'soft rock', 'symphonic rock']"
aloe blacc,2014.0,48.0,0.9983,0.198,0.761,0.041,3M33n8CbYbLJDeAVobnKnS,Ame Lorain,58810,52,[]
amanda perez,2003.0,69.0,0.9926,0.183,0.735,0.082,35U9lQaRWSQISxQAB94Meo,America,27,0,"['album rock', 'art rock', 'classic rock', 'folk', 'folk christmas', 'folk rock', 'mellow gold', 'pop christmas', 'rock', 'roots rock', 'singer-songwriter', 'soft rock']"
amazing rhythm aces,1975.0,97.0,0.9818,0.165,0.747,0.087,0MlOPi3zIDMVrfA9R04Fe3,American Authors,326988,68,"['brooklyn indie', 'modern rock', 'neo mellow', 'pop rock']"
amber,1996.0,82.0,0.9987,0.249,0.751,0.0,08rMCq2ek1YjdDBsCPVH2s,Amerie,474452,68,"['dance pop', 'deep indie r&b', 'deep pop r&b', 'hip hop', 'hip pop', 'indie r&b', 'neo soul', 'r&b', 'urban contemporary']"
ambrosia,1979.5,55.5,0.995,0.165,0.807,0.028,7GPNaPWw3STF8NYp39pd8G,Amii Stewart,250573,57,['disco']
ame lorain,1990.0,95.0,0.9933,0.167,0.758,0.076,3Gm5F95VdRxW3mqCn8RPBJ,Aminé,12078,45,"['hip hop', 'pop', 'pop rap', 'rap']"
america,1976.0,52.0,0.1751,0.09425,0.81825,0.08725,72Nhcx7prNk2ZCxhx0Y5es,Amy Grant,505289,75,"['ccm', 'christian alternative rock', 'christian christmas', 'christian music', 'pop christmas']"
american authors,2014.0,31.0,0.9902,0.169,0.796,0.035,6Q192DXotxtaysaqNPy5yR,Amy Winehouse,75748,54,[]
amerie,2005.0,67.0,0.989,0.092,0.905,0.003,3GHovBcEWpbnwCZDPF9GpM,Andrea True Connection,4071568,78,"['disco', 'soul christmas']"
amii stewart,1979.0,22.0,0.9979,0.334,0.644,0.022,5fmvGUlMVgmnCn45f1he7d,Andrew Gold,6131,39,"['soft rock', 'underground power pop']"
amine,2017.0,60.0,-0.9906,0.162,0.633,0.205,4YPqbAiLzBg5DIfsgQZ8QK,Andy Gibb,8220,44,"['adult standards', 'bubblegum pop', 'disco', 'mellow gold', 'soft rock']"
amy grant,1991.6,55.4,0.99462,0.2566,0.707,0.0364,2oX42qP5ineK3hrhBECLmj,Andy Grammer,79500,51,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']"
amy winehouse,2007.0,74.0,-0.9453,0.081,0.778,0.141,5MYBNUKoFf9LAg30ByaBli,Andy Kim,443979,73,"['brill building pop', 'bubblegum pop']"
andrea true connection,1976.0,17.0,0.997,0.288,0.691,0.021,4sj6D0zlMOl25nprDJBiU9,Andy Williams,1996,37,"['adult standards', 'brill building pop', 'christmas', 'easy listening', 'lounge', 'mellow gold', 'operatic pop', 'vocal jazz']"
andrew gold,1977.0,50.0,-0.5859,0.127,0.722,0.152,6VJqy1YyzrK4ZhgGs9cNTy,Angie Martinez,115161,60,['hip pop']
andy gibb,1978.71428571,38.8571428571,0.635257142857,0.161571428571,0.718285714286,0.12,6eQHjJJa52LUGjBKP5UPos,Animotion,4805,42,"['dance rock', 'new romantic', 'new wave', 'new wave pop', 'synthpop']"
