,main_artist,Year,Rank,Source,comp_score,pos_score,neu_score,neg_score
0,100 proof aged in soul,1970.0,84.0,,,,,
1,10000 maniacs,1994.0,40.0,1.0,0.9936,0.23399999999999999,0.6990000000000001,0.066
2,10cc,1976.0,43.0,1.0,0.9955,0.191,0.7709999999999999,0.038
3,112,1999.8333333333333,50.5,1.3333333333333333,0.6683499999999999,0.1465,0.7959999999999999,0.057499999999999996
4,1910 fruitgum company,1968.3333333333333,49.333333333333336,1.6666666666666667,0.49666666666666665,0.18933333333333335,0.7313333333333333,0.07933333333333333
5,2 chainz,2012.5,76.5,1.0,-0.97305,0.10750000000000001,0.676,0.21650000000000003
6,2 pistols,2008.0,100.0,1.0,0.8677,0.092,0.835,0.073
7,20 fingers,1995.0,76.0,1.0,-0.9939,0.054000000000000006,0.603,0.34299999999999997
8,21 savage,2017.0,48.0,1.0,0.2487,0.21,0.618,0.172
9,2pac,1996.5,59.0,1.0,0.58782,0.14859999999999998,0.7455999999999999,0.10600000000000001
10,3 doors down,2003.125,40.875,1.0,0.9385875,0.146375,0.7946249999999999,0.05925
11,38 special,1985.5,58.0,1.0,0.99495,0.1945,0.7555000000000001,0.05
12,3lw,2001.0,69.0,1.0,-0.9788,0.085,0.774,0.14
13,3oh3,2009.5,51.5,1.0,0.99085,0.2235,0.757,0.0195
14,3t,1996.0,43.0,1.0,0.9985,0.21,0.76,0.03
15,4 non blondes,1993.0,50.0,1.0,0.9919,0.226,0.715,0.059000000000000004
16,4:00 PM,1995.0,48.0,1.0,0.9513,0.13,0.797,0.073
17,5 seconds of summer,2014.0,89.5,1.0,0.9705,0.11699999999999999,0.8195,0.0635
18,50 cent,2004.3333333333333,33.333333333333336,1.0,0.18953333333333336,0.1012222222222222,0.8234444444444444,0.07522222222222223
19,69 boyz,1994.5,64.0,1.0,0.9457,0.04,0.94,0.019
20,702,1998.0,29.5,1.0,0.9896499999999999,0.14,0.8235,0.0365
21,8th day,1971.0,64.0,,,,,
22,95 south,1993.0,44.0,3.0,0.9988,0.158,0.833,0.009000000000000001
23,98 degrees,1998.6666666666667,59.666666666666664,1.0,-0.037350000000000015,0.131,0.7856666666666667,0.0835
24,a boogie wit da hoodie,2017.0,81.0,1.0,-0.9874,0.085,0.7829999999999999,0.133
25,a flock of seagulls,1982.0,67.0,1.0,0.8692,0.073,0.91,0.017
26,a great big world,2014.0,17.0,1.0,0.9771,0.19899999999999998,0.784,0.017
27,a taste of honey,1979.5,15.5,1.0,0.0021999999999999797,0.07600000000000001,0.8134999999999999,0.11049999999999999
28,aaliyah,1999.0,61.63636363636363,1.1818181818181819,0.4790090909090909,0.10354545454545455,0.8384545454545453,0.058272727272727275
29,aaron hall,1994.0,57.0,1.0,0.9947,0.191,0.667,0.142
